ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
275;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Belo Horizonte
276;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Carlota
277;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Carvalho
278;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Celia
279;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Cidade
280;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Cidade Morena
281;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Danubio Azul
282;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Do Polones
283;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Duque De Caxias
284;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Eliane
285;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Entroncamento
286;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Eva
287;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Fernanda
288;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Futurista
289;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Giocondo Orsi
290;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Gloria
291;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Gomes
292;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Guanandy
293;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Ipiranga
294;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Jardim Botafogo
295;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Julieta
296;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Jussara
297;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Liberdade
298;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Maciel
299;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Manoel Secco Thome
300;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Manoel Taveira
301;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Marcos Roberto
302;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Margarida
303;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Marli
304;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Miguel Couto
305;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Moreninha I
306;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Moreninha II
307;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Moreninha III
308;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Moreninha IV
309;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Morumbi
310;Campo Grande;Campo Grande;Campo Grande;Prosa;Vila Nascente
311;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Nasser
312;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Nathalia
313;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Neusa
314;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Nogueira
315;Campo Grande;Campo Grande;Campo Grande;Segredo;Vila Nossa Senhora Das Gracas
316;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Nova Campo Grande
317;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Oeste
