CEP,lat,lon,source,status
79811090,-22.2896413,-54.8082058,cepaberto,Success
79904722,-22.523123,-55.7242526,cepaberto,Success
79825070,-22.2176965,-54.8167562,cepaberto,Success
79366000,-19.6162956,-57.4495929,cepaberto,Success
79115370,-20.4265341,-54.6565861,cepaberto,Success
79117232,-20.416647,-54.6359443,cepaberto,Success
79064080,-20.5515461,-54.5879895,cepaberto,Success
79004640,-20.4761639,-54.6015276,cepaberto,Success
79004041,-20.480115,-54.608483,cepaberto,Success
79006000,-20.479984,-54.6410312,cepaberto,Success
79020010,-20.4697105,-54.6201211,cepaberto,Success
79064010,-20.5513125,-54.5914894,cepaberto,Success
79008050,-20.4697105,-54.6201211,cepaberto,Success
79051700,-20.4909636,-54.5838809,cepaberto,Success
79043022,-20.4697105,-54.6201211,cepaberto,Success
79021300,-20.4697105,-54.6201211,cepaberto,Success
79093031,-20.5016047,-54.672492,cepaberto,Success
79002005,-20.4697105,-54.6201211,cepaberto,Success
79095130,-20.527652,-54.662058,cepaberto,Success
79090110,-20.4704675,-54.6472278,cepaberto,Success
79190001,-20.4407126,-54.8655763,azure,Success
79603020,-20.7881689,-51.7030483,cepaberto,Success
79620000,-20.7881689,-51.7030483,cepaberto,Success
79006380,-20.4912204,-54.6409041,cepaberto,Success
79065190,-20.5538229,-54.5771254,cepaberto,Success
79014550,-20.4697105,-54.6201211,cepaberto,Success
79004150,-20.4697105,-54.6201211,cepaberto,Success
79092270,-20.4943438,-54.6526658,cepaberto,Success
79862000,-22.1815249,-54.6731288,cepaberto,Success
79440000,-20.1390703,-54.4001217,cepaberto,Success
79064040,-20.5487319,-54.5887475,cepaberto,Success
79008330,-20.4626447,-54.625622,cepaberto,Success
79034450,-20.4256241,-54.5607865,cepaberto,Success
79010030,-20.4517258,-54.6142443,cepaberto,Success
79300040,-18.9999182,-57.6514273,cepaberto,Success
79005080,-20.4705731,-54.6191557,cepaberto,Success
79060450,-20.5193016,-54.5902315,cepaberto,Success
79022180,-20.436209,-54.5931471,cepaberto,Success
79430029,-19.9188684,-54.3679153,azure,Success
79033470,-20.4232636,-54.5740857,cepaberto,Success
79780000,-21.7204699,-52.4296731,cepaberto,Success
79803030,-22.223561,-54.8125486,cepaberto,Success
79006040,-20.4786255,-54.6298593,cepaberto,Success
79805021,-22.2242851,-54.8100359,cepaberto,Success
79002280,-20.4308791,-54.6122371,cepaberto,Success
79630000,-20.7881689,-51.7030483,cepaberto,Success
79021460,-20.4697105,-54.6201211,cepaberto,Success
79820010,-22.223561,-54.8125486,cepaberto,Success
79022300,-20.4447145,-54.5998999,cepaberto,Success
79002338,-20.4501208,-54.6192376,cepaberto,Success
79105150,-20.4583664,-54.6857801,cepaberto,Success
79331030,-19.0024727,-57.667853,cepaberto,Success
79801011,-22.223561,-54.8125486,cepaberto,Success
79050060,-20.4813747,-54.599189,cepaberto,Success
79321856,-19.0430057,-57.6548708,cepaberto,Success
79332010,-19.0062933,-57.6541154,cepaberto,Success
79613001,-20.7881689,-51.7030483,cepaberto,Success
79040700,-20.4615353,-54.5689023,cepaberto,Success
79020060,-20.4509672,-54.5998607,cepaberto,Success
79022200,-20.4406639,-54.595247,cepaberto,Success
79003150,-20.4697105,-54.6201211,cepaberto,Success
79071320,-20.5360739,-54.6213713,cepaberto,Success
79060000,-20.4099699918,-54.681250052,cepaberto,Success
79116100,-20.4246748,-54.6393014,cepaberto,Success
79603011,-20.7881689,-51.7030483,cepaberto,Success
79052580,-20.5047654,-54.5950679,cepaberto,Success
79010150,-20.4308791,-54.6122371,cepaberto,Success
79002450,-20.462459,-54.6058653,cepaberto,Success
79321600,-19.0524287,-57.6467382,cepaberto,Success
79300002,-19.0081688,-57.6515503,cepaberto,Success
79004423,-20.4697105,-54.6201211,cepaberto,Success
79906612,-22.5601024,-55.6960339,cepaberto,Success
79010470,-20.4437493,-54.6198201,cepaberto,Success
79004000,-20.4697105,-54.6201211,cepaberto,Success
79081041,-20.4976697,-54.6341746,cepaberto,Success
79006540,-20.4736963,-54.6367805,cepaberto,Success
79021435,-20.4697105,-54.6201211,cepaberto,Success
79062000,-20.5352718,-54.5638116,cepaberto,Success
79602000,-20.7881689,-51.7030483,cepaberto,Success
79823350,-22.2146977,-54.8359987,cepaberto,Success
79804970,-22.2042812,-54.8135863,cepaberto,Success
79006420,-20.479984,-54.6410312,cepaberto,Success
79906010,-22.523123,-55.7242526,cepaberto,Success
79005360,-20.469781,-54.6309105,cepaberto,Success
79006440,-20.476875,-54.6389706,cepaberto,Success
79060140,-20.5018908,-54.6026414,cepaberto,Success
79820070,-22.2347888,-54.8249381,cepaberto,Success
79613010,-20.7881689,-51.7030483,cepaberto,Success
79112140,-20.4458733,-54.6566066,cepaberto,Success
79830220,-22.2239531,-54.7872138,cepaberto,Success
79103680,-20.4432931,-54.6764545,cepaberto,Success
79750093,-22.2396243,-53.355696,azure,Success
79011105,-20.4308791,-54.6122371,cepaberto,Success
79806970,-22.2269959,-54.8015823,azure,Success
79004200,-20.4748596,-54.6029593,cepaberto,Success
79112250,-20.4432847,-54.6598939,cepaberto,Success
79022210,-20.4404805,-54.5938716,cepaberto,Success
79580000,-19.7281763,-51.9285744,cepaberto,Success
79004270,-20.4724027,-54.6132246,cepaberto,Success
79013115,-20.4216162,-54.5894833,cepaberto,Success
79883000,-22.0798183,-54.5599633,cepaberto,Success
79035140,-20.4153797,-54.5582898,cepaberto,Success
79005620,-20.4748799,-54.619092,cepaberto,Success
79090120,-20.4732478,-54.6473877,cepaberto,Success
79108547,-20.485185,-54.746073,cepaberto,Success
79801002,-22.223561,-54.8125486,cepaberto,Success
79102200,-20.4536584,-54.6624286,cepaberto,Success
79802031,-22.2333788,-54.8175868,cepaberto,Success
79097030,-20.5344639,-54.6697283,cepaberto,Success
79050480,-20.4922305,-54.6078382,cepaberto,Success
79182056,-20.388154,-53.9478264,azure,Success
79065662,-20.554469,-54.5559962,cepaberto,Success
79065200,-20.5553615,-54.5763227,cepaberto,Success
79064370,-20.5520866,-54.5871358,cepaberto,Success
79081600,-20.5112539,-54.6319353,cepaberto,Success
79006510,-20.4865141,-54.6465975,cepaberto,Success
79975000,-23.6364204,-55.0146493,cepaberto,Success
79008310,-20.4626987,-54.6279269,cepaberto,Success
79802020,-22.2325735,-54.8217948,cepaberto,Success
79630260,-20.7965054,-51.7234757,cepaberto,Success
79602050,-20.7895058,-51.7052775,cepaberto,Success
79601070,-20.7876776,-51.70855,cepaberto,Success
79826110,-22.2206216,-54.8050754,cepaberto,Success
79014160,-20.4059941,-54.5952117,cepaberto,Success
79904562,-22.5208282,-55.7381413,cepaberto,Success
79097000,-20.5361896,-54.6670918,cepaberto,Success
79080710,-20.4998814,-54.6205431,cepaberto,Success
79301000,-19.0081688,-57.6515503,cepaberto,Success
79081060,-20.4976697,-54.6341746,cepaberto,Success
79112230,-20.4399177,-54.6595797,cepaberto,Success
79801015,-22.223561,-54.8125486,cepaberto,Success
79300030,-18.9985356,-57.6520683,cepaberto,Success
79002909,-20.4598246,-54.6167561,cepaberto,Success
79645110,-20.7739553,-51.6926503,cepaberto,Success
79041150,-20.4732718,-54.5789474,cepaberto,Success
79021200,-20.4697105,-54.6201211,cepaberto,Success
79970000,32.5795829,-90.659543,cepaberto,Success
79062313,-20.5069784,-54.5604985,cepaberto,Success
79034650,-20.4257254,-54.5569433,cepaberto,Success
79010780,-20.4308791,-54.6122371,cepaberto,Success
79004500,-20.4701184,-54.603248,cepaberto,Success
79011200,-20.4308791,-54.6122371,cepaberto,Success
79034331,-20.4196798,-54.5628393,cepaberto,Success
79006162,-20.4806408,-54.6328033,cepaberto,Success
79330060,-19.0021813,-57.6534408,cepaberto,Success
79090280,-20.47692,-54.6472027,cepaberto,Success
79020240,-20.4580352,-54.6029235,cepaberto,Success
79034680,-20.4237247,-54.5558311,cepaberto,Success
79640096,-20.7867944,-51.6940345,cepaberto,Success
79044400,-20.4661808,-54.5509726,cepaberto,Success
79005420,-20.4697105,-54.6201211,cepaberto,Success
79006260,-20.484656,-54.6361044,cepaberto,Success
79826200,-22.2069846,-54.814476,cepaberto,Success
79610200,-20.7881689,-51.7030483,cepaberto,Success
79010110,-20.4206427,-54.5903056,cepaberto,Success
79063520,-20.5206925,-54.5969337,cepaberto,Success
79602002,-20.7881689,-51.7030483,cepaberto,Success
79645024,-20.7881689,-51.7030483,cepaberto,Success
79092160,-20.4957789,-54.6614734,cepaberto,Success
79002250,-20.4512281,-54.6146417,cepaberto,Success
79820150,-22.223561,-54.8125486,cepaberto,Success
79621340,-20.8080089,-51.7086154,cepaberto,Success
79833720,-22.2066527,-54.7726635,cepaberto,Success
79814530,-22.2398691,-54.8214989,cepaberto,Success
79554000,-18.4442578,-53.0346069,cepaberto,Success
79080220,-20.4848925,-54.6195885,cepaberto,Success
79006580,-20.4850887,-54.6403739,cepaberto,Success
79022110,-20.4447145,-54.5998999,cepaberto,Success
79051590,-20.4921984,-54.596383,cepaberto,Success
79073257,-20.5488777,-54.6274896,cepaberto,Success
79083131,-20.5201998,-54.6424645,cepaberto,Success
79073130,-20.5533549,-54.6087803,cepaberto,Success
79020170,-20.4500826,-54.6044712,cepaberto,Success
79304020,-19.0007421,-57.6326792,cepaberto,Success
79020100,-20.4697105,-54.6201211,cepaberto,Success
79118370,-20.4218732,-54.617721,cepaberto,Success
79008570,-20.4697105,-54.6201211,cepaberto,Success
79045243,-20.4635113,-54.541357,cepaberto,Success
79002400,-20.4686851,-54.6073795,cepaberto,Success
79890007,-22.0809399,-54.786226,azure,Success
79813240,-22.223561,-54.8125486,cepaberto,Success
79002171,-20.4697105,-54.6201211,cepaberto,Success
79112000,-20.4497721,-54.6437741,cepaberto,Success
79112260,-20.4406387,-54.6574787,cepaberto,Success
79022050,-20.4413945,-54.5992729,cepaberto,Success
79002300,-20.4308791,-54.6122371,cepaberto,Success
79050112,-20.4697105,-54.6201211,cepaberto,Success
79080240,-20.486583,-54.6178539,cepaberto,Success
79108640,-20.4697105,-54.6201211,cepaberto,Success
79839716,-22.2510258,-54.7809591,azure,Success
79910011,-22.1883962,-55.9509648,azure,Success
79822020,-22.2242189,-54.8447027,cepaberto,Success
79005210,-20.4755305,-54.6206655,cepaberto,Success
79005170,-20.475244,-54.6179316,cepaberto,Success
79064030,-20.5469045,-54.5847716,cepaberto,Success
79113060,-20.4388527,-54.6640436,cepaberto,Success
79002363,-20.4697105,-54.6201211,cepaberto,Success
79086290,-20.5072627,-54.6510011,cepaberto,Success
79086382,-20.5014089,-54.6518668,cepaberto,Success
79460000,-19.8279871,-54.8313465,cepaberto,Success
79094030,-20.5093171,-54.6603729,cepaberto,Success
79100600,-20.4529541,-54.6511152,cepaberto,Success
79009800,-20.4501232,-54.6286897,cepaberto,Success
79064393,-20.5461929,-54.5796846,azure,Success
79004250,-20.4739964,-54.6120278,cepaberto,Success
79002367,-20.4697105,-54.6201211,cepaberto,Success
79006660,-20.4895121,-54.6367709,cepaberto,Success
79925000,-23.8915329,-55.4295343,cepaberto,Success
79907899,-22.523123,-55.7242526,cepaberto,Success
